content,video_title,video_publish_time,clicks_per_end_screen_element_shown_(%),end_screen_elements_shown,end_screen_element_clicks,views_per_playlist_start,views_from_playlist,comments_added,shares,dislikes,likes,subscribers_lost,subscribers_gained,average_views_per_viewer,unique_viewers,returning_viewers,new_viewers,average_percentage_viewed_(%),average_view_duration,views,watch_time_(hours),subscribers,estimated_revenue_(usd),impressions,impressions_click-through_rate_(%)
iUnVKBHiXX6,Artist15 - Song18,2024-02-05,2.58,543,14,3.0227,133.0,1,4,2,48,1,9,1.3227,2330,1767.0,430.0,32.93,0:01:08,3082,58.3506,8,2.357,21316,8.52
OYAaHKmbYfD,Artist46 - Song63,2023-11-25,2.26,1281,29,4.7879,158.0,1,25,0,47,2,6,1.4722,1616,1037.0,567.0,54.39,0:01:15,2379,49.6053,4,2.069,36407,4.43
mHnVmpX4ctf,Artist47 - Song64,2024-01-22,1.2,3933,47,4.8378,179.0,0,13,1,101,1,11,1.6487,4574,3518.0,906.0,56.05,0:01:27,7541,183.1076,10,10.436,54972,8.05
o6wSRDazJp5,Artist2 - Song2,2024-02-07,1.46,2335,34,7.3333,110.0,2,10,0,84,1,6,1.4875,3518,2924.0,501.0,46.66,0:00:55,5233,80.7199,5,3.522,33743,9.28
kPR1RGkZtlr,Artist14 - Song65,2023-12-24,0.18,8729,16,10.4898,514.0,1,36,2,190,0,8,1.683,10637,6556.0,3091.0,45.67,0:01:02,17902,311.177,8,16.919,132581,7.67
x6efeLZlJh7,Artist48 - Song66,2023-12-15,0.41,63917,263,5.3271,570.0,6,99,30,1967,5,92,2.1525,68414,46655.0,20502.0,43.05,0:00:56,147264,2324.4968,87,93.821,1135642,8.25
KD36uSCRI2I,Artist8 - Song8,2024-02-22,12.3,122,15,9.0,9.0,3,0,2,23,0,3,1.2251,351,,,27.3,0:00:46,430,5.543,3,,3574,8.17
VeEq9wrGyHm,Artist33 - Song67,2023-11-13,0.61,18553,114,15.6667,94.0,4,78,8,611,4,42,2.0041,22307,13276.0,8921.0,53.09,0:00:57,44705,715.2269,38,54.94,334813,7.93
9qlu4YXN3YV,Artist49 - Song68,2024-01-10,1.19,337,4,13.3571,187.0,1,4,0,27,2,0,1.5728,756,678.0,66.0,37.11,0:00:58,1189,19.3633,-2,0.902,13619,5.13
buj1q7P7LVL,Artist13 - Song15,2024-02-02,2.0,1603,32,9.6667,116.0,5,5,0,82,2,3,1.3597,3870,3164.0,217.0,34.37,0:01:04,5262,94.4412,1,4.374,31619,8.91
VtJTZ0aRwlQ,Artist32 - Song69,2023-12-06,0.34,102683,351,9.5349,410.0,8,97,33,1045,13,112,2.1363,58706,29983.0,26872.0,58.29,0:01:37,125416,3411.3718,99,126.675,944290,7.17
Riqm234rllI,Artist9 - Song70,2023-11-10,0.3,34494,104,7.3333,110.0,4,80,20,593,8,47,2.1013,28586,20541.0,7365.0,53.46,0:01:35,60067,1587.5658,39,48.128,426140,7.43
D5ZrWaaaRsb,Artist10 - Song13,2024-02-03,5.43,442,24,9.0,90.0,2,6,0,36,1,1,1.433,1374,1313.0,37.0,28.91,0:00:52,1969,28.625,0,1.286,13665,9.13
7VwLlxuOkdu,Artist6 - Song6,2024-02-09,2.54,1142,29,2.625,126.0,4,21,1,61,0,2,1.6206,1637,1383.0,74.0,45.03,0:01:02,2653,45.7994,2,1.148,18497,8.86
krwfWeeN6iB,Artist14 - Song71,2023-12-02,0.66,81974,542,8.375,134.0,9,181,49,2108,10,95,2.1437,89518,50088.0,38819.0,41.48,0:00:43,191899,2299.6308,85,162.849,1464565,8.78
5ggG2Osl5ag,Artist12 - Song72,2023-11-12,0.12,1682,2,12.25,98.0,0,1,0,23,0,2,2.3067,1389,1251.0,127.0,52.65,0:01:55,3204,102.6146,2,6.234,20158,9.05
xLKBEpjMNrk,Artist1 - Song73,2023-12-27,1.11,4793,53,5.0339,297.0,2,33,1,160,0,15,1.6419,7260,5174.0,1981.0,42.99,0:01:19,11920,264.7692,15,7.62,88911,8.67
2a5NkVrlRDY,Artist5 - Song74,2023-11-08,0.48,96762,468,6.4667,97.0,6,376,29,1853,9,172,1.8963,96489,50887.0,44921.0,45.56,0:01:22,182971,4191.0861,163,115.374,1292316,8.59
fc1uuXeMT5O,Artist50 - Song75,2024-02-15,3.95,1317,52,8.2,41.0,0,5,2,63,4,9,1.446,1518,1210.0,204.0,69.62,0:00:57,2195,40.8074,5,1.142,14995,10.2
qDvzYkbOGSg,Artist51 - Song76,2023-11-02,0.31,79317,245,12.1429,85.0,5,504,35,1644,19,128,2.0207,57186,18380.0,38279.0,58.91,0:01:58,115554,3818.5572,109,138.599,712412,6.6
xVMtXZUWZso,Artist52 - Song77,2024-02-01,1.16,6010,70,10.0769,262.0,5,8,3,175,0,12,1.6261,6703,5133.0,840.0,47.09,0:01:13,10900,223.8209,12,9.597,90982,7.03
mf1BAPDPHLR,Artist53 - Song78,2023-10-28,0.61,977,6,32.5,65.0,1,10,0,18,0,0,1.6691,1118,551.0,558.0,50.81,0:01:31,1866,47.4047,0,3.474,9567,7.26
g8agws85e7a,Artist1 - Song79,2023-12-10,0.46,41330,192,6.2833,377.0,5,28,14,519,4,40,1.9871,33611,24250.0,8168.0,49.01,0:01:16,66788,1418.1706,36,70.304,532988,7.32
iFwyLhl7Kic,Artist47 - Song80,2024-01-12,0.25,28324,71,11.7143,164.0,2,64,9,542,3,47,1.9469,29983,16634.0,11525.0,50.17,0:01:34,58373,1537.5054,44,80.998,411294,8.76
nr5b8AgISvh,Artist54 - Song81,2023-12-11,5.98,4094,245,5.2739,828.0,5,68,1,149,8,27,1.6086,5136,3391.0,1583.0,47.32,0:01:21,8262,186.7379,19,7.145,66131,6.49
IMkUiYU2Fsx,Artist10 - Song82,2024-01-09,0.42,6627,28,12.4118,211.0,1,32,2,186,0,14,1.5705,9661,6423.0,3186.0,43.14,0:01:25,15173,361.857,14,19.903,92833,8.06
1ItbpeDl2Vh,Artist55 - Song83,2023-11-28,0.86,2897,25,3.1,124.0,2,46,1,115,1,9,1.8373,3380,2280.0,994.0,45.01,0:01:29,6210,154.5191,8,2.92,48645,8.88
LnIdm46JbvK,Artist56 - Song84,2024-01-28,4.47,716,32,12.6667,114.0,3,4,0,60,1,5,1.4254,1601,1240.0,345.0,39.73,0:00:36,2282,22.9188,4,2.028,23498,5.76
UIQuFhoJkkf,Artist57 - Song85,2023-12-23,0.27,16787,45,8.125,455.0,4,33,10,520,3,33,1.8437,17983,11153.0,5862.0,52.22,0:01:12,33155,663.5841,30,43.304,258761,6.91
4cKhsuPTIFp,Artist9 - Song86,2023-11-24,1.87,6635,124,7.3333,132.0,2,39,0,191,2,16,1.7625,6519,4766.0,1690.0,52.31,0:01:47,11490,342.244,14,12.531,84661,6.48
Wq7EIWUB7lF,Artist58 - Song87,2023-11-18,0.12,1613,2,16.2,81.0,0,8,0,28,0,3,2.3391,1103,998.0,97.0,52.0,0:01:45,2580,75.657,3,3.852,17586,7.18
